October 2022 Contiguous U.S. County Average Temperature,a,a,a,a,a,a,a,a
ME-011,"Kennebec County, ME",51,118,4.3,46.7,Kennebec County,ME,", "
ME-013,"Knox County, ME",51.8,123,4.4,47.4,Knox County,ME,", "
ME-015,"Lincoln County, ME",51.6,119,4.1,47.5,Lincoln County,ME,", "
ME-017,"Oxford County, ME",48.3,116,4,44.3,Oxford County,ME,", "
ME-019,"Penobscot County, ME",50.2,123,5.1,45.1,Penobscot County,ME,", "
ME-021,"Piscataquis County, ME",48.2,124,5.6,42.6,Piscataquis County,ME,", "
ME-023,"Sagadahoc County, ME",51.4,116,3.7,47.7,Sagadahoc County,ME,", "
ME-025,"Somerset County, ME",48,122,5,43,Somerset County,ME,", "
ME-027,"Waldo County, ME",51,122,4.4,46.6,Waldo County,ME,", "
ME-029,"Washington County, ME",52,126,5.6,46.4,Washington County,ME,", "
ME-031,"York County, ME",50.3,104,2.4,47.9,York County,ME,", "
MD-001,"Allegany County, MD",50.5,20,-2.7,53.2,Allegany County,MD,", "
MD-003,"Anne Arundel County, MD",56.6,43,-0.7,57.3,Anne Arundel County,MD,", "
MD-005,"Baltimore County, MD",54.2,43,-0.9,55.1,Baltimore County,MD,", "
MD-009,"Calvert County, MD",56.8,44,-0.9,57.7,Calvert County,MD,", "
MD-011,"Caroline County, MD",55.7,41,-0.8,56.5,Caroline County,MD,", "
MD-013,"Carroll County, MD",52.5,40,-1.3,53.8,Carroll County,MD,", "
MD-015,"Cecil County, MD",54.5,39,-1.1,55.6,Cecil County,MD,", "
MD-017,"Charles County, MD",56.8,45,-0.6,57.4,Charles County,MD,", "
MD-019,"Dorchester County, MD",57.6,54,-0.2,57.8,Dorchester County,MD,", "
MD-021,"Frederick County, MD",52.9,34,-1.5,54.4,Frederick County,MD,", "
MD-023,"Garrett County, MD",46.5,20,-2.9,49.4,Garrett County,MD,", "
MD-025,"Harford County, MD",54.2,37,-1.3,55.5,Harford County,MD,", "
MD-027,"Howard County, MD",54.1,45,-0.6,54.7,Howard County,MD,", "
MD-029,"Kent County, MD",55.4,35,-1.5,56.9,Kent County,MD,", "
MD-031,"Montgomery County, MD",54.3,40,-1,55.3,Montgomery County,MD,", "
MD-033,"Prince George's County, MD",55.8,44,-0.9,56.7,Prince George's County,MD,", "
MD-035,"Queen Anne's County, MD",55.5,35,-1.3,56.8,Queen Anne's County,MD,", "
MD-037,"St. Mary's County, MD",57.4,44,-0.8,58.2,St. Mary's County,MD,", "
MD-039,"Somerset County, MD",58.4,53,-0.2,58.6,Somerset County,MD,", "
MD-041,"Talbot County, MD",56.9,44,-0.8,57.7,Talbot County,MD,", "
MD-043,"Washington County, MD",52.4,37,-1.5,53.9,Washington County,MD,", "
MD-045,"Wicomico County, MD",57.6,57,0.1,57.5,Wicomico County,MD,", "
MD-047,"Worcester County, MD",58.4,58,0.1,58.3,Worcester County,MD,", "
MD-510,"Baltimore City, MD",56.3,47,-0.6,56.9,Baltimore City,MD,", "
MD-511,"Washington, D.C., MD",55.9,45,-0.9,56.8,"Washington, D.C.",MD,", "
MA-001,"Barnstable County, MA",56.3,116,3.5,52.8,Barnstable County,MA,", "
MA-003,"Berkshire County, MA",49,91,1.7,47.3,Berkshire County,MA,", "
MA-005,"Bristol County, MA",55.1,111,3,52.1,Bristol County,MA,", "
MA-007,"Dukes County, MA",57,116,3.6,53.4,Dukes County,MA,", "
MA-009,"Essex County, MA",53.3,108,2.6,50.7,Essex County,MA,", "
MA-011,"Franklin County, MA",50.6,95,2.1,48.5,Franklin County,MA,", "
MA-013,"Hampden County, MA",51.3,89,1.5,49.8,Hampden County,MA,", "
MA-015,"Hampshire County, MA",50.8,86,1.4,49.4,Hampshire County,MA,", "
MA-017,"Middlesex County, MA",52.8,105,2.4,50.4,Middlesex County,MA,", "
MA-019,"Nantucket County, MA",57,118,3.7,53.3,Nantucket County,MA,", "
MA-021,"Norfolk County, MA",54,113,2.9,51.1,Norfolk County,MA,", "
MA-023,"Plymouth County, MA",55.3,114,3.4,51.9,Plymouth County,MA,", "
MA-025,"Suffolk County, MA",54.7,111,3,51.7,Suffolk County,MA,", "
MA-027,"Worcester County, MA",51.4,104,2.3,49.1,Worcester County,MA,", "
MI-001,"Alcona County, MI",47.8,85,1.3,46.5,Alcona County,MI,", "
MI-003,"Alger County, MI",45.6,84,0.8,44.8,Alger County,MI,", "
MI-005,"Allegan County, MI",50.7,56,-0.3,51,Allegan County,MI,", "
MI-007,"Alpena County, MI",48,89,1.5,46.5,Alpena County,MI,", "
MI-009,"Antrim County, MI",48.3,84,1.3,47,Antrim County,MI,", "
MI-011,"Arenac County, MI",49,79,1,48,Arenac County,MI,", "
MI-013,"Baraga County, MI",45,93,1.8,43.2,Baraga County,MI,", "
MI-015,"Barry County, MI",50,61,-0.1,50.1,Barry County,MI,", "
MI-017,"Bay County, MI",49.9,77,0.9,49,Bay County,MI,", "
MI-019,"Benzie County, MI",48.4,85,1.4,47,Benzie County,MI,", "
MI-021,"Berrien County, MI",52,60,-0.1,52.1,Berrien County,MI,", "
MI-023,"Branch County, MI",50.6,61,-0.1,50.7,Branch County,MI,", "
MI-025,"Calhoun County, MI",50.2,62,0,50.2,Calhoun County,MI,", "
MI-027,"Cass County, MI",51.4,67,0.3,51.1,Cass County,MI,", "
MI-029,"Charlevoix County, MI",48.1,81,0.9,47.2,Charlevoix County,MI,", "
MI-031,"Cheboygan County, MI",46.9,79,0.5,46.4,Cheboygan County,MI,", "
MI-033,"Chippewa County, MI",45.5,85,0.8,44.7,Chippewa County,MI,", "
MI-035,"Clare County, MI",47.9,81,1.1,46.8,Clare County,MI,", "
MI-037,"Clinton County, MI",50.4,75,0.7,49.7,Clinton County,MI,", "
MI-039,"Crawford County, MI",47,85,1.1,45.9,Crawford County,MI,", "
MI-041,"Delta County, MI",46.2,80,0.6,45.6,Delta County,MI,", "
MI-043,"Dickinson County, MI",45.8,93,1.8,44,Dickinson County,MI,", "
MI-045,"Eaton County, MI",50.1,70,0.3,49.8,Eaton County,MI,", "
MI-047,"Emmet County, MI",47.6,86,1,46.6,Emmet County,MI,", "
MI-049,"Genesee County, MI",50.4,74,0.9,49.5,Genesee County,MI,", "
MI-051,"Gladwin County, MI",48.8,79,1.1,47.7,Gladwin County,MI,", "
MI-053,"Gogebic County, MI",44.5,81,1.1,43.4,Gogebic County,MI,", "
MI-055,"Grand Traverse County, MI",48.5,87,1.7,46.8,Grand Traverse County,MI,", "
MI-057,"Gratiot County, MI",50.1,75,0.9,49.2,Gratiot County,MI,", "
MI-059,"Hillsdale County, MI",50.2,64,0.1,50.1,Hillsdale County,MI,", "
MI-061,"Houghton County, MI",46.6,97,2.4,44.2,Houghton County,MI,", "
MI-063,"Huron County, MI",49.8,80,1.2,48.6,Huron County,MI,", "
MI-065,"Ingham County, MI",50.4,77,0.9,49.5,Ingham County,MI,", "
MI-067,"Ionia County, MI",49.6,67,0.1,49.5,Ionia County,MI,", "
MI-069,"Iosco County, MI",48.4,82,1.1,47.3,Iosco County,MI,", "
MI-071,"Iron County, MI",44.5,92,1.8,42.7,Iron County,MI,", "
MI-073,"Isabella County, MI",48.9,73,0.9,48,Isabella County,MI,", "
MI-075,"Jackson County, MI",50.3,73,0.6,49.7,Jackson County,MI,", "
MI-077,"Kalamazoo County, MI",50.8,67,0.1,50.7,Kalamazoo County,MI,", "
MI-079,"Kalkaska County, MI",47.6,84,1.4,46.2,Kalkaska County,MI,", "
MI-081,"Kent County, MI",49.5,64,-0.1,49.6,Kent County,MI,", "
MI-083,"Keweenaw County, MI",46.9,103,2.8,44.1,Keweenaw County,MI,", "
MI-085,"Lake County, MI",47.8,70,0.3,47.5,Lake County,MI,", "
MI-087,"Lapeer County, MI",50.3,76,0.9,49.4,Lapeer County,MI,", "
MI-089,"Leelanau County, MI",49,86,1.7,47.3,Leelanau County,MI,", "
MI-091,"Lenawee County, MI",51.5,76,0.8,50.7,Lenawee County,MI,", "
MI-093,"Livingston County, MI",50.4,79,1.1,49.3,Livingston County,MI,", "
MI-095,"Luce County, MI",44.7,82,0.5,44.2,Luce County,MI,", "
MI-097,"Mackinac County, MI",46,85,0.8,45.2,Mackinac County,MI,", "
MI-099,"Macomb County, MI",52.1,78,1.1,51,Macomb County,MI,", "
MI-101,"Manistee County, MI",48.4,81,0.8,47.6,Manistee County,MI,", "
MI-103,"Marquette County, MI",45.5,96,1.9,43.6,Marquette County,MI,", "
MI-105,"Mason County, MI",48.6,76,0.3,48.3,Mason County,MI,", "
MI-107,"Mecosta County, MI",47.7,68,0.2,47.5,Mecosta County,MI,", "
MI-109,"Menominee County, MI",46.4,80,0.6,45.8,Menominee County,MI,", "
MI-111,"Midland County, MI",49.9,78,1,48.9,Midland County,MI,", "
MI-113,"Missaukee County, MI",47.3,84,1.3,46,Missaukee County,MI,", "
MI-115,"Monroe County, MI",53.2,83,1.3,51.9,Monroe County,MI,", "
MI-117,"Montcalm County, MI",48.6,68,0.2,48.4,Montcalm County,MI,", "
MI-119,"Montmorency County, MI",46.8,81,0.7,46.1,Montmorency County,MI,", "
MI-121,"Muskegon County, MI",50.2,75,0.6,49.6,Muskegon County,MI,", "
MI-123,"Newaygo County, MI",48.4,71,0.2,48.2,Newaygo County,MI,", "
MI-125,"Oakland County, MI",50.8,77,1,49.8,Oakland County,MI,", "
MI-127,"Oceana County, MI",49,72,0.5,48.5,Oceana County,MI,", "
MI-129,"Ogemaw County, MI",47.5,79,1,46.5,Ogemaw County,MI,", "
MI-131,"Ontonagon County, MI",45.7,88,1.5,44.2,Ontonagon County,MI,", "
MI-133,"Osceola County, MI",47,74,0.5,46.5,Osceola County,MI,", "
MI-135,"Oscoda County, MI",46.9,84,1,45.9,Oscoda County,MI,", "
MI-137,"Otsego County, MI",46.4,81,0.7,45.7,Otsego County,MI,", "
MI-139,"Ottawa County, MI",50.6,68,0,50.6,Ottawa County,MI,", "
MI-141,"Presque Isle County, MI",47,79,0.6,46.4,Presque Isle County,MI,", "
MI-143,"Roscommon County, MI",47.5,84,1.4,46.1,Roscommon County,MI,", "
MI-145,"Saginaw County, MI",50.4,78,0.9,49.5,Saginaw County,MI,", "
MI-147,"St. Clair County, MI",52,80,1.4,50.6,St. Clair County,MI,", "
MI-149,"St. Joseph County, MI",51.3,66,0.2,51.1,St. Joseph County,MI,", "
MI-151,"Sanilac County, MI",50.4,78,1.1,49.3,Sanilac County,MI,", "
MI-153,"Schoolcraft County, MI",45.6,76,0.3,45.3,Schoolcraft County,MI,", "
MI-155,"Shiawassee County, MI",50.6,77,1,49.6,Shiawassee County,MI,", "
MI-157,"Tuscola County, MI",50,74,0.8,49.2,Tuscola County,MI,", "
MI-159,"Van Buren County, MI",51.2,58,-0.1,51.3,Van Buren County,MI,", "
MI-161,"Washtenaw County, MI",51,81,1.2,49.8,Washtenaw County,MI,", "
MI-163,"Wayne County, MI",52.5,79,1.2,51.3,Wayne County,MI,", "
MI-165,"Wexford County, MI",47.4,83,1.1,46.3,Wexford County,MI,", "
MN-001,"Aitkin County, MN",46.1,99,2.5,43.6,Aitkin County,MN,", "
MN-003,"Anoka County, MN",49.7,95,2.1,47.6,Anoka County,MN,", "
MN-005,"Becker County, MN",46,96,2.1,43.9,Becker County,MN,", "
MN-007,"Beltrami County, MN",46,107,3.2,42.8,Beltrami County,MN,", "
MN-009,"Benton County, MN",48.6,99,2.7,45.9,Benton County,MN,", "
MN-011,"Big Stone County, MN",49.3,96,2.3,47,Big Stone County,MN,", "
MN-013,"Blue Earth County, MN",49.6,74,0.5,49.1,Blue Earth County,MN,", "
MN-015,"Brown County, MN",50.4,88,1.7,48.7,Brown County,MN,", "
MN-017,"Carlton County, MN",44.9,86,1.3,43.6,Carlton County,MN,", "
MN-019,"Carver County, MN",49.9,92,1.8,48.1,Carver County,MN,", "
MN-021,"Cass County, MN",46.6,102,2.7,43.9,Cass County,MN,", "
MN-023,"Chippewa County, MN",49.9,96,2.4,47.5,Chippewa County,MN,", "
MN-025,"Chisago County, MN",48.8,93,1.7,47.1,Chisago County,MN,", "
MN-027,"Clay County, MN",46.3,78,1.2,45.1,Clay County,MN,", "
MN-029,"Clearwater County, MN",46.1,105,3.1,43,Clearwater County,MN,", "
MN-031,"Cook County, MN",41.6,75,1,40.6,Cook County,MN,", "
MN-033,"Cottonwood County, MN",50.2,90,2.1,48.1,Cottonwood County,MN,", "
MN-035,"Crow Wing County, MN",47.4,102,2.9,44.5,Crow Wing County,MN,", "
MN-037,"Dakota County, MN",49.9,77,1.1,48.8,Dakota County,MN,", "
MN-039,"Dodge County, MN",47.9,75,0.5,47.4,Dodge County,MN,", "
MN-041,"Douglas County, MN",48.1,109,3.2,44.9,Douglas County,MN,", "
MN-043,"Faribault County, MN",49,67,-0.1,49.1,Faribault County,MN,", "
MN-045,"Fillmore County, MN",46.9,51,-1,47.9,Fillmore County,MN,", "
MN-047,"Freeborn County, MN",48.5,70,0,48.5,Freeborn County,MN,", "
MN-049,"Goodhue County, MN",49,77,0.8,48.2,Goodhue County,MN,", "
MN-051,"Grant County, MN",48.2,97,2.4,45.8,Grant County,MN,", "
MN-053,"Hennepin County, MN",50.2,96,2.2,48,Hennepin County,MN,", "
MN-055,"Houston County, MN",48.8,60,-0.3,49.1,Houston County,MN,", "
MN-057,"Hubbard County, MN",46.2,103,2.6,43.6,Hubbard County,MN,", "
MN-059,"Isanti County, MN",48.9,95,2.1,46.8,Isanti County,MN,", "
MN-061,"Itasca County, MN",45.6,104,2.9,42.7,Itasca County,MN,", "
MN-063,"Jackson County, MN",49.6,85,1.4,48.2,Jackson County,MN,", "
MN-065,"Kanabec County, MN",48.1,100,2.6,45.5,Kanabec County,MN,", "
MN-067,"Kandiyohi County, MN",49.5,99,2.8,46.7,Kandiyohi County,MN,", "
MN-069,"Kittson County, MN",45.7,103,3.1,42.6,Kittson County,MN,", "
MN-071,"Koochiching County, MN",45.5,110,3.4,42.1,Koochiching County,MN,", "
MN-073,"Lac qui Parle County, MN",50,95,2.4,47.6,Lac qui Parle County,MN,", "
MN-075,"Lake County, MN",42.4,83,1.3,41.1,Lake County,MN,", "
MN-077,"Lake of the Woods County, MN",45.7,112,3.6,42.1,Lake of the Woods County,MN,", "
MN-079,"Le Sueur County, MN",49.7,80,1,48.7,Le Sueur County,MN,", "
MN-081,"Lincoln County, MN",48.9,90,1.8,47.1,Lincoln County,MN,", "
MN-083,"Lyon County, MN",50.2,93,2.1,48.1,Lyon County,MN,", "
MN-085,"McLeod County, MN",49.5,89,1.8,47.7,McLeod County,MN,", "
MN-087,"Mahnomen County, MN",46.2,101,2.7,43.5,Mahnomen County,MN,", "
MN-089,"Marshall County, MN",46.2,104,3.1,43.1,Marshall County,MN,", "
MN-091,"Martin County, MN",49.3,74,0.7,48.6,Martin County,MN,", "
MN-093,"Meeker County, MN",49.2,97,2.4,46.8,Meeker County,MN,", "
MN-095,"Mille Lacs County, MN",48.1,99,2.7,45.4,Mille Lacs County,MN,", "
MN-097,"Morrison County, MN",48.2,102,2.9,45.3,Morrison County,MN,", "
MN-099,"Mower County, MN",47.5,64,-0.1,47.6,Mower County,MN,", "
MN-101,"Murray County, MN",49.4,89,1.8,47.6,Murray County,MN,", "
MN-103,"Nicollet County, MN",50,82,1.2,48.8,Nicollet County,MN,", "
MN-105,"Nobles County, MN",48.9,77,0.8,48.1,Nobles County,MN,", "
MN-107,"Norman County, MN",46.5,89,1.8,44.7,Norman County,MN,", "
MN-109,"Olmsted County, MN",48.1,74,0.6,47.5,Olmsted County,MN,", "
MN-111,"Otter Tail County, MN",47.1,101,2.5,44.6,Otter Tail County,MN,", "
MN-113,"Pennington County, MN",46.5,104,3.1,43.4,Pennington County,MN,", "
MN-115,"Pine County, MN",46.4,86,1.5,44.9,Pine County,MN,", "
MN-117,"Pipestone County, MN",48.7,89,1.4,47.3,Pipestone County,MN,", "
MN-119,"Polk County, MN",46.7,102,2.6,44.1,Polk County,MN,", "
MN-121,"Pope County, MN",48.9,109,3.2,45.7,Pope County,MN,", "
MN-123,"Ramsey County, MN",50.3,92,1.8,48.5,Ramsey County,MN,", "
MN-125,"Red Lake County, MN",46.9,105,3.1,43.8,Red Lake County,MN,", "
MN-127,"Redwood County, MN",50.3,90,1.8,48.5,Redwood County,MN,", "
MN-129,"Renville County, MN",50.2,95,2.2,48,Renville County,MN,", "
MN-131,"Rice County, MN",49,75,0.6,48.4,Rice County,MN,", "
MN-133,"Rock County, MN",49.3,83,1.2,48.1,Rock County,MN,", "
MN-135,"Roseau County, MN",45.4,109,3.4,42,Roseau County,MN,", "
MN-137,"St. Louis County, MN",44,97,2.2,41.8,St. Louis County,MN,", "
MN-139,"Scott County, MN",50.2,90,1.5,48.7,Scott County,MN,", "
MN-141,"Sherburne County, MN",49.2,98,2.5,46.7,Sherburne County,MN,", "
MN-143,"Sibley County, MN",50,88,1.6,48.4,Sibley County,MN,", "
MN-145,"Stearns County, MN",49,107,3.1,45.9,Stearns County,MN,", "
MN-147,"Steele County, MN",48.4,75,0.3,48.1,Steele County,MN,", "
MN-149,"Stevens County, MN",49,100,2.7,46.3,Stevens County,MN,", "
MN-151,"Swift County, MN",49.6,101,2.8,46.8,Swift County,MN,", "
MN-153,"Todd County, MN",48.2,110,3.3,44.9,Todd County,MN,", "
MN-155,"Traverse County, MN",48.4,90,1.8,46.6,Traverse County,MN,", "
MN-157,"Wabasha County, MN",49.5,85,1.2,48.3,Wabasha County,MN,", "
MN-159,"Wadena County, MN",47.1,102,2.8,44.3,Wadena County,MN,", "
MN-161,"Waseca County, MN",49,74,0.4,48.6,Waseca County,MN,", "
MN-163,"Washington County, MN",50,93,1.7,48.3,Washington County,MN,", "
MN-165,"Watonwan County, MN",50.3,88,1.6,48.7,Watonwan County,MN,", "
MN-167,"Wilkin County, MN",47,79,1.2,45.8,Wilkin County,MN,", "
MN-169,"Winona County, MN",48.7,73,0.3,48.4,Winona County,MN,", "
MN-171,"Wright County, MN",49.4,96,2.4,47,Wright County,MN,", "
MN-173,"Yellow Medicine County, MN",50.2,93,2.2,48,Yellow Medicine County,MN,", "
MS-001,"Adams County, MS",65.9,49,-0.6,66.5,Adams County,MS,", "
MS-003,"Alcorn County, MS",59.1,34,-1.8,60.9,Alcorn County,MS,", "
MS-005,"Amite County, MS",65.1,39,-1.1,66.2,Amite County,MS,", "
MS-007,"Attala County, MS",61.6,33,-1.8,63.4,Attala County,MS,", "
MS-009,"Benton County, MS",59.5,34,-1.8,61.3,Benton County,MS,", "
MS-011,"Bolivar County, MS",63.6,58,-0.3,63.9,Bolivar County,MS,", "
MS-013,"Calhoun County, MS",61.2,36,-2,63.2,Calhoun County,MS,", "
MS-015,"Carroll County, MS",61.7,34,-1.7,63.4,Carroll County,MS,", "
MS-017,"Chickasaw County, MS",61.6,40,-1.6,63.2,Chickasaw County,MS,", "
MS-019,"Choctaw County, MS",60.9,28,-2.1,63,Choctaw County,MS,", "
MS-021,"Claiborne County, MS",65.5,58,-0.3,65.8,Claiborne County,MS,", "
MS-023,"Clarke County, MS",62.7,27,-1.8,64.5,Clarke County,MS,", "
MS-025,"Clay County, MS",61.9,38,-1.6,63.5,Clay County,MS,", "
MS-027,"Coahoma County, MS",62.9,57,-0.5,63.4,Coahoma County,MS,", "
MS-029,"Copiah County, MS",64.4,40,-1.3,65.7,Copiah County,MS,", "
MS-031,"Covington County, MS",63.3,26,-2.1,65.4,Covington County,MS,", "
MS-033,"DeSoto County, MS",61.3,35,-1.7,63,DeSoto County,MS,", "
MS-035,"Forrest County, MS",64.8,33,-1.2,66,Forrest County,MS,", "
MS-037,"Franklin County, MS",65.1,44,-0.9,66,Franklin County,MS,", "
MS-039,"George County, MS",65.8,41,-0.8,66.6,George County,MS,", "
MS-041,"Greene County, MS",64.5,32,-1.5,66,Greene County,MS,", "
MS-043,"Grenada County, MS",61.2,25,-2.3,63.5,Grenada County,MS,", "
MS-045,"Hancock County, MS",66.4,31,-1.4,67.8,Hancock County,MS,", "
MS-047,"Harrison County, MS",66.6,40,-1,67.6,Harrison County,MS,", "
MS-049,"Hinds County, MS",64.3,42,-1.1,65.4,Hinds County,MS,", "
MS-051,"Holmes County, MS",63.1,40,-1.1,64.2,Holmes County,MS,", "
MS-053,"Humphreys County, MS",64.3,52,-0.4,64.7,Humphreys County,MS,", "
MS-055,"Issaquena County, MS",64.9,55,-0.1,65,Issaquena County,MS,", "
MS-057,"Itawamba County, MS",60.5,33,-1.8,62.3,Itawamba County,MS,", "
MS-059,"Jackson County, MS",67,47,-0.7,67.7,Jackson County,MS,", "
MS-061,"Jasper County, MS",62.5,27,-2,64.5,Jasper County,MS,", "
MS-063,"Jefferson County, MS",65.5,53,-0.4,65.9,Jefferson County,MS,", "
MS-065,"Jefferson Davis County, MS",63.6,27,-1.9,65.5,Jefferson Davis County,MS,", "
MS-067,"Jones County, MS",63.2,25,-2.3,65.5,Jones County,MS,", "
MS-069,"Kemper County, MS",61.5,22,-2.3,63.8,Kemper County,MS,", "
MS-071,"Lafayette County, MS",61.2,42,-1.6,62.8,Lafayette County,MS,", "
MS-073,"Lamar County, MS",64.7,34,-1.3,66,Lamar County,MS,", "
MS-075,"Lauderdale County, MS",62.3,32,-1.7,64,Lauderdale County,MS,", "
MS-077,"Lawrence County, MS",64.1,31,-1.7,65.8,Lawrence County,MS,", "
MS-079,"Leake County, MS",62.3,38,-1.4,63.7,Leake County,MS,", "
MS-081,"Lee County, MS",61.1,40,-1.6,62.7,Lee County,MS,", "
MS-083,"Leflore County, MS",62.8,41,-1.2,64,Leflore County,MS,", "
MS-085,"Lincoln County, MS",64.2,32,-1.5,65.7,Lincoln County,MS,", "
MS-087,"Lowndes County, MS",61.5,23,-2.3,63.8,Lowndes County,MS,", "
MS-089,"Madison County, MS",63.7,42,-1.2,64.9,Madison County,MS,", "
MS-091,"Marion County, MS",64.5,32,-1.7,66.2,Marion County,MS,", "
MS-093,"Marshall County, MS",60.3,37,-1.8,62.1,Marshall County,MS,", "
MS-095,"Monroe County, MS",61.5,36,-1.6,63.1,Monroe County,MS,", "
MS-097,"Montgomery County, MS",60.5,21,-2.7,63.2,Montgomery County,MS,", "
MS-099,"Neshoba County, MS",61.6,33,-1.6,63.2,Neshoba County,MS,", "
MS-101,"Newton County, MS",62.3,37,-1.3,63.6,Newton County,MS,", "
MS-103,"Noxubee County, MS",61.5,23,-2.4,63.9,Noxubee County,MS,", "
MS-105,"Oktibbeha County, MS",61.9,38,-1.6,63.5,Oktibbeha County,MS,", "
MS-107,"Panola County, MS",61.6,39,-1.5,63.1,Panola County,MS,", "
MS-109,"Pearl River County, MS",65.5,35,-1.2,66.7,Pearl River County,MS,", "
MS-111,"Perry County, MS",64.7,34,-1.3,66,Perry County,MS,", "
MS-113,"Pike County, MS",64.6,33,-1.5,66.1,Pike County,MS,", "
MS-115,"Pontotoc County, MS",61.4,45,-1.4,62.8,Pontotoc County,MS,", "
MS-117,"Prentiss County, MS",59.9,33,-1.8,61.7,Prentiss County,MS,", "
MS-119,"Quitman County, MS",62.4,45,-1,63.4,Quitman County,MS,", "
MS-121,"Rankin County, MS",63.3,37,-1.5,64.8,Rankin County,MS,", "
MS-123,"Scott County, MS",62.6,39,-1.3,63.9,Scott County,MS,", "
MS-125,"Sharkey County, MS",64.7,56,-0.3,65,Sharkey County,MS,", "
MS-127,"Simpson County, MS",63.3,29,-1.8,65.1,Simpson County,MS,", "
MS-129,"Smith County, MS",62.7,28,-1.9,64.6,Smith County,MS,", "
MS-131,"Stone County, MS",65.7,42,-0.9,66.6,Stone County,MS,", "
MS-133,"Sunflower County, MS",63.4,47,-0.7,64.1,Sunflower County,MS,", "
MS-135,"Tallahatchie County, MS",62.1,38,-1.5,63.6,Tallahatchie County,MS,", "
MS-137,"Tate County, MS",61.3,39,-1.7,63,Tate County,MS,", "
MS-139,"Tippah County, MS",59.5,36,-1.8,61.3,Tippah County,MS,", "
MS-141,"Tishomingo County, MS",59.1,33,-1.9,61,Tishomingo County,MS,", "
MS-143,"Tunica County, MS",62.1,42,-1.1,63.2,Tunica County,MS,", "
MS-145,"Union County, MS",60.8,40,-1.5,62.3,Union County,MS,", "
MS-147,"Walthall County, MS",64.5,32,-1.6,66.1,Walthall County,MS,", "
MS-149,"Warren County, MS",65.2,56,-0.3,65.5,Warren County,MS,", "
MS-151,"Washington County, MS",64.2,55,-0.4,64.6,Washington County,MS,", "
MS-153,"Wayne County, MS",63,21,-2.2,65.2,Wayne County,MS,", "
MS-155,"Webster County, MS",60.8,28,-2.2,63,Webster County,MS,", "
MS-157,"Wilkinson County, MS",66.2,46,-0.6,66.8,Wilkinson County,MS,", "
MS-159,"Winston County, MS",61.4,32,-1.8,63.2,Winston County,MS,", "
MS-161,"Yalobusha County, MS",61.2,33,-2,63.2,Yalobusha County,MS,", "
MS-163,"Yazoo County, MS",64.4,48,-0.8,65.2,Yazoo County,MS,", "
MO-001,"Adair County, MO",53.2,44,-1.4,54.6,Adair County,MO,", "
MO-003,"Andrew County, MO",54.8,54,-0.8,55.6,Andrew County,MO,", "
MO-005,"Atchison County, MO",54.1,51,-0.8,54.9,Atchison County,MO,", "
MO-007,"Audrain County, MO",54.8,46,-1.3,56.1,Audrain County,MO,", "
MO-009,"Barry County, MO",58.3,64,-0.1,58.4,Barry County,MO,", "
MO-011,"Barton County, MO",58.4,49,-0.9,59.3,Barton County,MO,", "
MO-013,"Bates County, MO",57.2,48,-1.2,58.4,Bates County,MO,", "
MO-015,"Benton County, MO",55.9,36,-1.6,57.5,Benton County,MO,", "
MO-017,"Bollinger County, MO",56.1,31,-1.7,57.8,Bollinger County,MO,", "
MO-019,"Boone County, MO",56,51,-0.9,56.9,Boone County,MO,", "
MO-021,"Buchanan County, MO",55.5,56,-0.6,56.1,Buchanan County,MO,", "
MO-023,"Butler County, MO",58,39,-1.5,59.5,Butler County,MO,", "
MO-025,"Caldwell County, MO",54.8,57,-0.6,55.4,Caldwell County,MO,", "
MO-027,"Callaway County, MO",55.9,47,-1.1,57,Callaway County,MO,", "
MO-029,"Camden County, MO",56.3,38,-1.5,57.8,Camden County,MO,", "
MO-031,"Cape Girardeau County, MO",56.6,36,-1.4,58,Cape Girardeau County,MO,", "
MO-033,"Carroll County, MO",55,46,-1.2,56.2,Carroll County,MO,", "
MO-035,"Carter County, MO",57.7,59,0,57.7,Carter County,MO,", "
MO-037,"Cass County, MO",57,62,-0.2,57.2,Cass County,MO,", "
MO-039,"Cedar County, MO",57.9,46,-0.9,58.8,Cedar County,MO,", "
MO-041,"Chariton County, MO",55,45,-1.3,56.3,Chariton County,MO,", "
MO-043,"Christian County, MO",56.6,45,-1,57.6,Christian County,MO,", "
MO-045,"Clark County, MO",52.2,23,-2.9,55.1,Clark County,MO,", "
MO-047,"Clay County, MO",57.5,85,1.1,56.4,Clay County,MO,", "
MO-049,"Clinton County, MO",56.2,83,0.7,55.5,Clinton County,MO,", "
